chapter,Grammar,Auxiliary,Verb,Noun,Modifier
1,49.50677606711533,7.587351341384714,15.80160413017424,13.570572508527704,13.53369595279801
2,47.882889973240985,7.681410357311506,14.371163229970094,16.779474264127185,13.285062175350228
3,48.729446935724965,7.100149476831091,15.780482596626094,13.623745462310485,14.766175528507366
4,48.90070921985816,7.021276595744681,16.063829787234045,15.070921985815602,12.943262411347517
5,46.92653673163419,8.65817091454273,15.142428785607196,15.179910044977513,14.09295352323838
6,47.662729328977136,7.41392309625534,15.732596129680823,14.036189997486806,15.154561447599898
7,46.81103990076494,7.701054372544966,14.425263593136242,16.198056646681827,14.864585486872029
8,48.22958057395144,7.876379690949227,16.582781456953644,12.379690949227374,14.931567328918321
9,47.6543483071476,7.700818765213543,15.180349634874974,15.235671608763003,14.228811684000886
10,50.09708737864078,5.873786407766991,15.388349514563107,15.048543689320388,13.592233009708737
